"global_step","loss-test_avg - _step","loss-test_avg - train_loss_avg","loss-test_avg - val_loss_avg","loss-test_avg_seq_mean - _step","loss-test_avg_seq_mean - train_loss_avg","loss-test_avg_seq_mean - val_loss_avg","loss-test_avg_seq_sum - _step","loss-test_avg_seq_sum - train_loss_avg","loss-test_avg_seq_sum - val_loss_avg","loss-test_total_norm_batch - _step","loss-test_total_norm_batch - train_loss_avg","loss-test_total_norm_batch - val_loss_avg","loss-test_total - _step","loss-test_total - train_loss_avg","loss-test_total - val_loss_avg"
"0","5","0.7025461792945862","undefined","5","0.706807017326355","undefined","5","0.6848355531692505","undefined","5","0.6997519135475159","undefined","5","0.6890352964401245","undefined"
"5","10","0.7027003169059753","undefined","10","0.7049262523651123","undefined","10","0.6841621994972229","undefined","10","0.6991963982582092","undefined","10","0.68687903881073","undefined"
"10","15","0.7027668356895447","undefined","15","0.7052837014198303","undefined","15","0.6833943128585815","undefined","15","0.698465883731842","undefined","15","0.6876382231712341","undefined"
"15","20","0.7026931047439575","undefined","20","0.7015122175216675","undefined","20","0.6826139092445374","undefined","20","0.7007439136505127","undefined","20","0.6860778331756592","undefined"
"20","25","0.7023240923881531","undefined","25","0.7045782804489136","undefined","25","0.6809524297714233","undefined","25","0.6957144141197205","undefined","25","0.6905469298362732","undefined"
"25","30","0.698065996170044","undefined","30","0.7018285989761353","undefined","30","0.6793078780174255","undefined","30","0.6946574449539185","undefined","30","0.6820421814918518","undefined"
"30","35","0.6943671703338623","undefined","35","0.6976548433303833","undefined","35","0.6767520904541016","undefined","35","0.6944288015365601","undefined","35","0.6788586378097534","undefined"
"35","40","0.6891804933547974","undefined","40","0.6942448019981384","undefined","40","0.6721837520599365","undefined","40","0.6897392868995667","undefined","40","0.674227237701416","undefined"
"40","45","0.6907135844230652","undefined","45","0.691964864730835","undefined","45","0.6703581213951111","undefined","45","0.6852871775627136","undefined","45","0.6740950345993042","undefined"
"45","50","0.684842050075531","undefined","50","0.6877120733261108","undefined","50","0.6688571572303772","undefined","50","0.6806355118751526","undefined","50","0.6720727682113647","undefined"
"50","55","0.6752231121063232","undefined","55","0.6821151375770569","undefined","55","0.6587796211242676","undefined","55","0.6782883405685425","undefined","55","0.6600067019462585","undefined"
"55","60","0.6703144311904907","undefined","60","0.6748983860015869","undefined","60","0.6578118801116943","undefined","60","0.672520637512207","undefined","60","0.6627513766288757","undefined"
"60","65","0.6642500758171082","undefined","65","0.6683486700057983","undefined","65","0.649411141872406","undefined","65","0.6697031855583191","undefined","65","0.6517162322998047","undefined"
"65","70","0.6534443497657776","undefined","70","0.6620607972145081","undefined","70","0.6426756381988525","undefined","70","0.6604893207550049","undefined","70","0.6464598774909973","undefined"
"70","75","0.6393176317214966","undefined","75","0.6500269174575806","undefined","75","0.6353538036346436","undefined","75","0.6490836143493652","undefined","75","0.6365250945091248","undefined"
"75","80","0.6222643256187439","undefined","80","0.6416177749633789","undefined","80","0.6218165755271912","undefined","80","0.6456648707389832","undefined","80","0.6264100670814514","undefined"
"80","85","0.6058585047721863","undefined","85","0.6353973150253296","undefined","85","0.6148545145988464","undefined","85","0.6370461583137512","undefined","85","0.6087117195129395","undefined"
"85","90","0.5855651497840881","undefined","90","0.624018132686615","undefined","90","0.5958177447319031","undefined","90","0.6270291805267334","undefined","90","0.6009076833724976","undefined"
