"global_step","loss-test_avg - _step","loss-test_avg - train_loss_avg_seq_mean","loss-test_avg - val_loss_avg_seq_mean","loss-test_avg_seq_mean - _step","loss-test_avg_seq_mean - train_loss_avg_seq_mean","loss-test_avg_seq_mean - val_loss_avg_seq_mean","loss-test_avg_seq_sum - _step","loss-test_avg_seq_sum - train_loss_avg_seq_mean","loss-test_avg_seq_sum - val_loss_avg_seq_mean","loss-test_total_norm_batch - _step","loss-test_total_norm_batch - train_loss_avg_seq_mean","loss-test_total_norm_batch - val_loss_avg_seq_mean","loss-test_total - _step","loss-test_total - train_loss_avg_seq_mean","loss-test_total - val_loss_avg_seq_mean"
"0","5","0.7025736570358276","undefined","5","0.706622302532196","undefined","5","0.6855746507644653","undefined","5","0.699892520904541","undefined","5","0.6886966228485107","undefined"
"5","10","0.7024848461151123","undefined","10","0.7043834924697876","undefined","10","0.6842971444129944","undefined","10","0.6989092230796814","undefined","10","0.6868683695793152","undefined"
"10","15","0.7024368047714233","undefined","15","0.7052855491638184","undefined","15","0.683911144733429","undefined","15","0.6986680626869202","undefined","15","0.6876657605171204","undefined"
"15","20","0.7021677494049072","undefined","20","0.7018376588821411","undefined","20","0.6824612617492676","undefined","20","0.7006931304931641","undefined","20","0.6860203742980957","undefined"
"20","25","0.7020772695541382","undefined","25","0.704563319683075","undefined","25","0.6812021732330322","undefined","25","0.6955236196517944","undefined","25","0.6908077597618103","undefined"
"25","30","0.6976240873336792","undefined","30","0.7016499042510986","undefined","30","0.6793069243431091","undefined","30","0.6947988271713257","undefined","30","0.6820921301841736","undefined"
"30","35","0.6939035654067993","undefined","35","0.6976675987243652","undefined","35","0.6773606538772583","undefined","35","0.6944893002510071","undefined","35","0.679053544998169","undefined"
"35","40","0.688850998878479","undefined","40","0.694179892539978","undefined","40","0.6725377440452576","undefined","40","0.6894700527191162","undefined","40","0.6743167638778687","undefined"
"40","45","0.6903001070022583","undefined","45","0.691780686378479","undefined","45","0.6702561378479004","undefined","45","0.6854374408721924","undefined","45","0.6742333173751831","undefined"
"45","50","0.6850861310958862","undefined","50","0.6876121759414673","undefined","50","0.6696056127548218","undefined","50","0.6809512972831726","undefined","50","0.672319769859314","undefined"
"50","55","0.6750686168670654","undefined","55","0.6820348501205444","undefined","55","0.6592292785644531","undefined","55","0.6784656047821045","undefined","55","0.6599341630935669","undefined"
"55","60","0.6696902513504028","undefined","60","0.6747082471847534","undefined","60","0.6591376066207886","undefined","60","0.6729728579521179","undefined","60","0.6629687547683716","undefined"
"60","65","0.6645563840866089","undefined","65","0.6685227751731873","undefined","65","0.6506388187408447","undefined","65","0.6697254776954651","undefined","65","0.6524993181228638","undefined"
"65","70","0.6532529592514038","undefined","70","0.6624705791473389","undefined","70","0.6432614326477051","undefined","70","0.6604394912719727","undefined","70","0.6465716361999512","undefined"
"70","75","0.6396427154541016","undefined","75","0.6500095129013062","undefined","75","0.6363438367843628","undefined","75","0.6492695808410645","undefined","75","0.6373772025108337","undefined"
"75","80","0.6225501298904419","undefined","80","0.6417207717895508","undefined","80","0.6223496198654175","undefined","80","0.6462721228599548","undefined","80","0.6267956495285034","undefined"
"80","85","0.6070194244384766","undefined","85","0.6354941129684448","undefined","85","0.6186606884002686","undefined","85","0.6384886503219604","undefined","85","0.6089985370635986","undefined"
"85","90","0.5869174003601074","undefined","90","0.6254364252090454","undefined","90","0.5993160009384155","undefined","90","0.62807297706604","undefined","90","0.6010761260986328","undefined"
"90","95","0.5703495144844055","undefined","95","0.6122128367424011","undefined","95","0.5840315818786621","undefined","95","0.6067224144935608","undefined","95","0.5801711082458496","undefined"
"95","100","0.5436367988586426","undefined","100","0.6012551784515381","undefined","100","0.5744643211364746","undefined","100","0.5992584228515625","undefined","100","0.5563702583312988","undefined"
"100","105","0.5152544975280762","undefined","105","0.5792211294174194","undefined","105","0.5524882078170776","undefined","105","0.58125239610672","undefined","105","0.5344702005386353","undefined"
"105","110","0.48548996448516846","undefined","110","0.5681994557380676","undefined","110","0.53238844871521","undefined","110","0.5611910820007324","undefined","110","0.5072721242904663","undefined"
"110","115","0.45626598596572876","undefined","115","0.5501874089241028","undefined","115","0.5215148329734802","undefined","115","0.5456656217575073","undefined","115","0.48292016983032227","undefined"
"115","120","0.4524043798446655","undefined","120","0.528838574886322","undefined","120","0.5066053867340088","undefined","120","0.4978331923484802","undefined","120","0.4568008482456207","undefined"
"120","125","0.4246910810470581","undefined","125","0.5059186220169067","undefined","125","0.47097039222717285","undefined","125","0.502113938331604","undefined","125","0.418973445892334","undefined"
"125","130","0.4403313994407654","undefined","130","0.49320513010025024","undefined","130","0.4403804838657379","undefined","130","0.4673573970794678","undefined","130","0.4050593972206116","undefined"
"130","135","0.4591802954673767","undefined","135","0.48802971839904785","undefined","135","0.44768017530441284","undefined","135","0.4318450689315796","undefined","135","0.3928767442703247","undefined"
"135","140","0.405170738697052","undefined","140","0.4349178671836853","undefined","140","0.4220643937587738","undefined","140","0.45726698637008667","undefined","140","0.38601917028427124","undefined"
"140","145","0.42708393931388855","undefined","145","0.4442768096923828","undefined","145","0.4059155285358429","undefined","145","0.43529027700424194","undefined","145","0.40001243352890015","undefined"
"145","150","0.39268070459365845","undefined","150","0.41687533259391785","undefined","150","0.4085146188735962","undefined","150","0.42353272438049316","undefined","150","0.372957706451416","undefined"
"150","155","0.409714937210083","undefined","155","0.41965872049331665","undefined","155","0.4189034700393677","undefined","155","0.4758467376232147","undefined","155","0.404954731464386","undefined"
"155","160","0.4469505548477173","undefined","160","0.4452435076236725","undefined","160","0.42815205454826355","undefined","160","0.3594578504562378","undefined","160","0.37986263632774353","undefined"
"160","165","0.3491451144218445","undefined","165","0.3583057224750519","undefined","165","0.41728025674819946","undefined","165","0.3468635082244873","undefined","165","0.37950098514556885","undefined"
"165","170","0.3427375555038452","undefined","170","0.33305034041404724","undefined","170","0.41211041808128357","undefined","170","0.36085695028305054","undefined","170","0.4367483854293823","undefined"
"170","175","0.3574362099170685","undefined","175","0.3387950658798218","undefined","175","0.3626653552055359","undefined","175","0.33321601152420044","undefined","175","0.38545921444892883","undefined"
"175","180","0.3386121690273285","undefined","180","0.3545733690261841","undefined","180","0.4247623682022095","undefined","180","0.31115251779556274","undefined","180","0.392235666513443","undefined"
"180","185","0.35049697756767273","undefined","185","0.35665011405944824","undefined","185","0.402677446603775","undefined","185","0.3278982639312744","undefined","185","0.357992947101593","undefined"
"185","190","0.37065863609313965","undefined","190","0.37190353870391846","undefined","190","0.44215866923332214","undefined","190","0.33740296959877014","undefined","190","0.3518088757991791","undefined"
"190","195","0.37631863355636597","undefined","195","0.387491375207901","undefined","195","0.344327449798584","undefined","195","0.3766491413116455","undefined","195","0.35226714611053467","undefined"
"195","200","0.3817574083805084","undefined","200","0.3352387547492981","undefined","200","0.3946077227592468","undefined","200","0.3363640308380127","undefined","200","0.44834768772125244","undefined"
"200","205","0.35806044936180115","undefined","205","0.36055535078048706","undefined","205","0.38300544023513794","undefined","205","0.35566046833992004","undefined","205","0.4019184708595276","undefined"
"205","210","0.3099666237831116","undefined","210","0.3581707775592804","undefined","210","0.3541533350944519","undefined","210","0.3305341601371765","undefined","210","0.3768859803676605","undefined"
"210","215","0.3319293260574341","undefined","215","0.32907408475875854","undefined","215","0.37209028005599976","undefined","215","0.3818039894104004","undefined","215","0.3978288769721985","undefined"
"215","220","0.33814141154289246","undefined","220","0.3547176718711853","undefined","220","0.3638153076171875","undefined","220","0.339724600315094","undefined","220","0.37436288595199585","undefined"
"220","225","0.33340898156166077","undefined","225","0.3383615016937256","undefined","225","0.36330917477607727","undefined","225","0.3247661590576172","undefined","225","0.3992080092430115","undefined"
"225","230","0.3616222143173218","undefined","230","0.35545873641967773","undefined","230","0.3673439025878906","undefined","230","0.36002904176712036","undefined","230","0.35054129362106323","undefined"
"230","235","0.3438776135444641","undefined","235","0.3847721815109253","undefined","235","0.36543530225753784","undefined","235","0.3679645359516144","undefined","235","0.39673736691474915","undefined"
"235","240","0.41160792112350464","undefined","240","0.39529168605804443","undefined","240","0.3993441164493561","undefined","240","0.4322594404220581","undefined","240","0.405225932598114","undefined"
"240","245","0.4291388690471649","undefined","245","0.41111356019973755","undefined","245","0.3720880150794983","undefined","245","0.3784351944923401","undefined","245","0.4206858277320862","undefined"
"245","250","0.42477554082870483","undefined","250","0.44196587800979614","undefined","250","0.3615371584892273","undefined","250","0.38619107007980347","undefined","250","0.374251127243042","undefined"
"250","255","0.4027668237686157","undefined","255","0.3977351188659668","undefined","255","0.3559683561325073","undefined","255","0.4248475730419159","undefined","255","0.367904931306839","undefined"
"255","260","0.43603670597076416","undefined","260","0.41994649171829224","undefined","260","0.40438857674598694","undefined","260","0.37606924772262573","undefined","260","0.3807361125946045","undefined"
"260","265","0.3930389881134033","undefined","265","0.40874040126800537","undefined","265","0.39219969511032104","undefined","265","0.43157297372817993","undefined","265","0.37801021337509155","undefined"
"265","270","0.44221991300582886","undefined","270","0.4337140619754791","undefined","270","0.434570848941803","undefined","270","0.3395996689796448","undefined","270","0.3521265685558319","undefined"
"270","275","0.38917452096939087","undefined","275","0.40134868025779724","undefined","275","0.3424827456474304","undefined","275","0.38612937927246094","undefined","275","0.34796398878097534","undefined"
"275","280","0.421764075756073","undefined","280","0.39625072479248047","undefined","280","0.3853822946548462","undefined","280","0.3786425292491913","undefined","280","0.4072483777999878","undefined"
"280","285","0.38401058316230774","undefined","285","0.38616687059402466","undefined","285","0.4040863513946533","undefined","285","0.41286545991897583","undefined","285","0.4105491042137146","undefined"
"285","290","0.43132272362709045","undefined","290","0.42941248416900635","undefined","290","0.35428327322006226","undefined","290","0.39727163314819336","undefined","290","0.3837330937385559","undefined"
"290","295","0.3877807855606079","undefined","295","0.373954176902771","undefined","295","0.3935675323009491","undefined","295","0.38513755798339844","undefined","295","0.3940742611885071","undefined"
"295","300","0.3475613594055176","undefined","300","0.36265867948532104","undefined","300","0.3835424780845642","undefined","300","0.38111674785614014","undefined","300","0.3841332197189331","undefined"
"300","305","0.37874165177345276","undefined","305","0.37287044525146484","undefined","305","0.37887707352638245","undefined","305","0.3450751304626465","undefined","305","0.3950538635253906","undefined"
"305","310","0.4409257769584656","undefined","310","0.44263988733291626","undefined","310","0.3857191205024719","undefined","310","0.363878071308136","undefined","310","0.3711944818496704","undefined"
"310","315","0.3907874524593353","undefined","315","0.38516953587532043","undefined","315","0.39955398440361023","undefined","315","0.37423408031463623","undefined","315","0.37918007373809814","undefined"
"315","320","0.4012297987937927","undefined","320","0.4043310582637787","undefined","320","0.4034579396247864","undefined","320","0.3631287217140198","undefined","320","0.38437318801879883","undefined"
"320","325","0.40023159980773926","undefined","325","0.4140220582485199","undefined","325","0.3054269552230835","undefined","325","0.428386390209198","undefined","325","0.34800225496292114","undefined"
"325","330","0.3945288062095642","undefined","330","0.3889102041721344","undefined","330","0.30765411257743835","undefined","330","0.39617034792900085","undefined","330","0.37160056829452515","undefined"
"330","335","0.33848559856414795","undefined","335","0.4140460193157196","undefined","335","0.305591881275177","undefined","335","0.40447723865509033","undefined","335","0.3481990694999695","undefined"
"335","340","0.3370433449745178","undefined","340","0.38123926520347595","undefined","340","0.30793583393096924","undefined","340","0.3921072483062744","undefined","340","0.36253485083580017","undefined"
"340","345","0.4094765782356262","undefined","345","0.38923928141593933","undefined","345","0.2772226929664612","undefined","345","0.37393730878829956","undefined","345","0.3742331564426422","undefined"
"345","350","0.3689109981060028","undefined","350","0.43051379919052124","undefined","350","0.31603699922561646","undefined","350","0.3708919882774353","undefined","350","0.38093799352645874","undefined"
"350","355","0.3805202543735504","undefined","355","0.4126223921775818","undefined","355","0.29759812355041504","undefined","355","0.38365107774734497","undefined","355","0.3726236820220947","undefined"
"355","360","0.39367201924324036","undefined","360","0.3784075975418091","undefined","360","0.279909610748291","undefined","360","0.42816096544265747","undefined","360","0.37035420536994934","undefined"
"360","365","0.3476390540599823","undefined","365","0.4246586561203003","undefined","365","0.3298734426498413","undefined","365","0.4132177233695984","undefined","365","0.38144105672836304","undefined"
"365","370","0.37664103507995605","undefined","370","0.39203083515167236","undefined","370","0.30230310559272766","undefined","370","0.32738104462623596","undefined","370","0.36115482449531555","undefined"
"370","375","0.3757649064064026","undefined","375","0.3642348349094391","undefined","375","0.3151754140853882","undefined","375","0.2925877571105957","undefined","375","0.35882437229156494","undefined"
"375","380","0.3639593720436096","undefined","380","0.397146999835968","undefined","380","0.2921392321586609","undefined","380","0.3442435562610626","undefined","380","0.39054134488105774","undefined"
"380","385","0.3688492774963379","undefined","385","0.3928631544113159","undefined","385","0.3218179941177368","undefined","385","0.4576961100101471","undefined","385","0.3851296901702881","undefined"
"385","390","0.40261590480804443","undefined","390","0.4114011228084564","undefined","390","0.3408809006214142","undefined","390","0.39207229018211365","undefined","390","0.38137370347976685","undefined"
"390","395","0.3696315884590149","undefined","395","0.37427252531051636","undefined","395","0.33172816038131714","undefined","395","0.40931010246276855","undefined","395","0.3271726369857788","undefined"
"395","400","0.3872656226158142","undefined","400","0.38786765933036804","undefined","400","0.3812316656112671","undefined","400","0.31908637285232544","undefined","400","0.37085777521133423","undefined"
"400","405","0.36997950077056885","undefined","405","0.33840492367744446","undefined","405","0.3949390947818756","undefined","405","0.38269275426864624","undefined","405","0.33543211221694946","undefined"
"405","410","0.3629486858844757","undefined","410","0.37068358063697815","undefined","410","0.39448168873786926","undefined","410","0.35557353496551514","undefined","410","0.37673231959342957","undefined"
"410","415","0.39073991775512695","undefined","415","0.37114718556404114","undefined","415","0.347292423248291","undefined","415","0.40642672777175903","undefined","415","0.3851132392883301","undefined"
"415","420","0.3710465431213379","undefined","420","0.35782936215400696","undefined","420","0.3864887058734894","undefined","420","0.32451993227005005","undefined","420","0.44447073340415955","undefined"
"420","425","0.3669130206108093","undefined","425","0.40499961376190186","undefined","425","0.3888348340988159","undefined","425","0.35490113496780396","undefined","425","0.36803334951400757","undefined"
"425","430","0.3715662956237793","undefined","430","0.36593037843704224","undefined","430","0.37826260924339294","undefined","430","0.40731579065322876","undefined","430","0.357332706451416","undefined"
"430","435","0.3750301003456116","undefined","435","0.3899253010749817","undefined","435","0.4228876829147339","undefined","435","0.3442443609237671","undefined","435","0.3856598138809204","undefined"
"435","440","0.34885939955711365","undefined","440","0.3900732696056366","undefined","440","0.42878884077072144","undefined","440","0.3773055076599121","undefined","440","0.3468658924102783","undefined"
"440","445","0.3771207332611084","undefined","445","0.4434388279914856","undefined","445","0.390913724899292","undefined","445","0.3566618859767914","undefined","445","0.38736939430236816","undefined"
"445","450","0.4017273187637329","undefined","450","0.3585299253463745","undefined","450","0.4008777439594269","undefined","450","0.40708160400390625","undefined","450","0.37960922718048096","undefined"
"450","455","0.380913108587265","undefined","455","0.38077354431152344","undefined","455","0.36953771114349365","undefined","455","0.31054970622062683","undefined","455","0.3563823103904724","undefined"
"455","460","0.38260751962661743","undefined","460","0.3594723343849182","undefined","460","0.4176333248615265","undefined","460","0.3482983410358429","undefined","460","0.3408254384994507","undefined"
"460","465","0.3918609023094177","undefined","465","0.39086058735847473","undefined","465","0.3679385781288147","undefined","465","0.35132259130477905","undefined","465","0.38973116874694824","undefined"
"465","470","0.32889002561569214","undefined","470","0.3950155973434448","undefined","470","0.3957819938659668","undefined","470","0.3675205707550049","undefined","470","0.3633781671524048","undefined"
"470","475","0.36650219559669495","undefined","475","0.3386921286582947","undefined","475","0.37105265259742737","undefined","475","0.40596017241477966","undefined","475","0.3605547547340393","undefined"
"475","480","0.35477668046951294","undefined","480","0.27740803360939026","undefined","480","0.3419601321220398","undefined","480","0.38234153389930725","undefined","480","0.3733394145965576","undefined"
"480","485","0.3543943166732788","undefined","485","0.32000529766082764","undefined","485","0.40785402059555054","undefined","485","0.42573049664497375","undefined","485","0.3745931386947632","undefined"
