"global_step","loss-test_avg - _step","loss-test_avg - train_loss_avg_seq_sum","loss-test_avg - val_loss_avg_seq_sum","loss-test_avg_seq_mean - _step","loss-test_avg_seq_mean - train_loss_avg_seq_sum","loss-test_avg_seq_mean - val_loss_avg_seq_sum","loss-test_avg_seq_sum - _step","loss-test_avg_seq_sum - train_loss_avg_seq_sum","loss-test_avg_seq_sum - val_loss_avg_seq_sum","loss-test_total_norm_batch - _step","loss-test_total_norm_batch - train_loss_avg_seq_sum","loss-test_total_norm_batch - val_loss_avg_seq_sum","loss-test_total - _step","loss-test_total - train_loss_avg_seq_sum","loss-test_total - val_loss_avg_seq_sum"
"0","5","22.482357025146484","undefined","5","22.611913681030273","undefined","5","21.93838882446289","undefined","5","22.396560668945312","undefined","5","22.038291931152344","undefined"
"5","10","22.479515075683594","undefined","10","22.540271759033203","undefined","10","21.89750862121582","undefined","10","22.365095138549805","undefined","10","21.979787826538086","undefined"
"10","15","22.477977752685547","undefined","15","22.569137573242188","undefined","15","21.885156631469727","undefined","15","22.357378005981445","undefined","15","22.00530433654785","undefined"
"15","20","22.46936798095703","undefined","20","22.458805084228516","undefined","20","21.838760375976562","undefined","20","22.42218017578125","undefined","20","21.952651977539062","undefined"
"20","25","22.466472625732422","undefined","25","22.5460262298584","undefined","25","21.79846954345703","undefined","25","22.256755828857422","undefined","25","22.10584831237793","undefined"
"25","30","22.323970794677734","undefined","30","22.452796936035156","undefined","30","21.737821578979492","undefined","30","22.233562469482422","undefined","30","21.826948165893555","undefined"
"30","35","22.204914093017578","undefined","35","22.325363159179688","undefined","35","21.675540924072266","undefined","35","22.223657608032227","undefined","35","21.729713439941406","undefined"
"35","40","22.043231964111328","undefined","40","22.213756561279297","undefined","40","21.521207809448242","undefined","40","22.06304168701172","undefined","40","21.578136444091797","undefined"
"40","45","22.089603424072266","undefined","45","22.136981964111328","undefined","45","21.448196411132812","undefined","45","21.933998107910156","undefined","45","21.57546615600586","undefined"
"45","50","21.92275619506836","undefined","50","22.003589630126953","undefined","50","21.427379608154297","undefined","50","21.790441513061523","undefined","50","21.514232635498047","undefined"
"50","55","21.602195739746094","undefined","55","21.825115203857422","undefined","55","21.0953369140625","undefined","55","21.710899353027344","undefined","55","21.11789321899414","undefined"
"55","60","21.43008804321289","undefined","60","21.59066390991211","undefined","60","21.092403411865234","undefined","60","21.535131454467773","undefined","60","21.21500015258789","undefined"
"60","65","21.265804290771484","undefined","65","21.392728805541992","undefined","65","20.82044219970703","undefined","65","21.431215286254883","undefined","65","20.87997817993164","undefined"
"65","70","20.904094696044922","undefined","70","21.199058532714844","undefined","70","20.584365844726562","undefined","70","21.134063720703125","undefined","70","20.690292358398438","undefined"
"70","75","20.46856689453125","undefined","75","20.800304412841797","undefined","75","20.36300277709961","undefined","75","20.776626586914062","undefined","75","20.39607048034668","undefined"
"75","80","19.92160415649414","undefined","80","20.535064697265625","undefined","80","19.91518783569336","undefined","80","20.680707931518555","undefined","80","20.05746078491211","undefined"
"80","85","19.42462158203125","undefined","85","20.335811614990234","undefined","85","19.797142028808594","undefined","85","20.431636810302734","undefined","85","19.487953186035156","undefined"
"85","90","18.781356811523438","undefined","90","20.013965606689453","undefined","90","19.178112030029297","undefined","90","20.09833526611328","undefined","90","19.23443603515625","undefined"
"90","95","18.251184463500977","undefined","95","19.590810775756836","undefined","95","18.689010620117188","undefined","95","19.415117263793945","undefined","95","18.565475463867188","undefined"
"95","100","17.396377563476562","undefined","100","19.24016571044922","undefined","100","18.382858276367188","undefined","100","19.17626953125","undefined","100","17.803848266601562","undefined"
"100","105","16.488143920898438","undefined","105","18.535076141357422","undefined","105","17.679622650146484","undefined","105","18.60007667541504","undefined","105","17.103046417236328","undefined"
"105","110","15.53567886352539","undefined","110","18.182382583618164","undefined","110","17.03643035888672","undefined","110","17.958114624023438","undefined","110","16.232707977294922","undefined"
"110","115","14.60051155090332","undefined","115","17.60599708557129","undefined","115","16.688474655151367","undefined","115","17.461299896240234","undefined","115","15.453445434570312","undefined"
"115","120","14.476940155029297","undefined","120","16.922834396362305","undefined","120","16.21137237548828","undefined","120","15.930662155151367","undefined","120","14.617627143859863","undefined"
"120","125","13.59011459350586","undefined","125","16.189395904541016","undefined","125","15.071052551269531","undefined","125","16.067646026611328","undefined","125","13.407150268554688","undefined"
"125","130","14.090604782104492","undefined","130","15.782564163208008","undefined","130","14.092175483703613","undefined","130","14.955436706542969","undefined","130","12.96190071105957","undefined"
"130","135","14.693769454956055","undefined","135","15.616950988769531","undefined","135","14.325765609741211","undefined","135","13.819042205810547","undefined","135","12.57205581665039","undefined"
"135","140","12.965463638305664","undefined","140","13.91737174987793","undefined","140","13.506060600280762","undefined","140","14.632543563842773","undefined","140","12.35261344909668","undefined"
"140","145","13.666686058044434","undefined","145","14.21685791015625","undefined","145","12.989296913146973","undefined","145","13.929288864135742","undefined","145","12.800397872924805","undefined"
"145","150","12.56578254699707","undefined","150","13.340010643005371","undefined","150","13.072467803955078","undefined","150","13.553047180175781","undefined","150","11.934646606445312","undefined"
"150","155","13.110877990722656","undefined","155","13.429079055786133","undefined","155","13.404911041259766","undefined","155","15.227095603942871","undefined","155","12.958551406860352","undefined"
"155","160","14.302417755126953","undefined","160","14.24779224395752","undefined","160","13.700865745544434","undefined","160","11.50265121459961","undefined","160","12.155604362487793","undefined"
"160","165","11.172643661499023","undefined","165","11.46578311920166","undefined","165","13.352968215942383","undefined","165","11.099632263183594","undefined","165","12.144031524658203","undefined"
