"global_step","loss-test_avg - _step","loss-test_avg - train_loss_total","loss-test_avg - val_loss_total","loss-test_avg_seq_mean - _step","loss-test_avg_seq_mean - train_loss_total","loss-test_avg_seq_mean - val_loss_total","loss-test_avg_seq_sum - _step","loss-test_avg_seq_sum - train_loss_total","loss-test_avg_seq_sum - val_loss_total","loss-test_total_norm_batch - _step","loss-test_total_norm_batch - train_loss_total","loss-test_total_norm_batch - val_loss_total","loss-test_total - _step","loss-test_total - train_loss_total","loss-test_total - val_loss_total"
"0","5","472.11102294921875","undefined","5","500.41937255859375","undefined","5","386.9320983886719","undefined","5","449.24072265625","undefined","5","480.9466552734375","undefined"
"5","10","474.3227233886719","undefined","10","519.5306396484375","undefined","10","419.39141845703125","undefined","10","433.50177001953125","undefined","10","458.1483154296875","undefined"
"10","15","510.2087097167969","undefined","15","497.2250061035156","undefined","15","422.3376770019531","undefined","15","447.71661376953125","undefined","15","441.4637451171875","undefined"
"15","20","490.4797668457031","undefined","20","466.505615234375","undefined","20","419.80755615234375","undefined","20","454.0820617675781","undefined","20","435.659423828125","undefined"
"20","25","498.65008544921875","undefined","25","541.8206787109375","undefined","25","417.423828125","undefined","25","463.3457946777344","undefined","25","383.944091796875","undefined"
"25","30","472.5906982421875","undefined","30","484.96356201171875","undefined","30","410.30194091796875","undefined","30","446.66473388671875","undefined","30","470.6091003417969","undefined"
"30","35","454.81048583984375","undefined","35","471.61468505859375","undefined","35","395.22320556640625","undefined","35","431.24029541015625","undefined","35","443.2947082519531","undefined"
"35","40","500.34503173828125","undefined","40","488.0540771484375","undefined","40","398.60498046875","undefined","40","449.71002197265625","undefined","40","426.1116027832031","undefined"
"40","45","505.6023254394531","undefined","45","461.5405578613281","undefined","45","401.5445251464844","undefined","45","455.0306701660156","undefined","45","435.46539306640625","undefined"
"45","50","469.8016357421875","undefined","50","491.02642822265625","undefined","50","374.55999755859375","undefined","50","405.65875244140625","undefined","50","413.32476806640625","undefined"
"50","55","471.98095703125","undefined","55","450.87811279296875","undefined","55","570.503173828125","undefined","55","380.519775390625","undefined","55","454.7445983886719","undefined"
"55","60","436.37469482421875","undefined","60","475.8033447265625","undefined","60","383.50433349609375","undefined","60","436.46588134765625","undefined","60","412.89410400390625","undefined"
"60","65","453.0185546875","undefined","65","465.8390197753906","undefined","65","407.8302001953125","undefined","65","402.4916076660156","undefined","65","442.51531982421875","undefined"
"65","70","447.609375","undefined","70","435.635986328125","undefined","70","370.8238525390625","undefined","70","422.05267333984375","undefined","70","401.45159912109375","undefined"
"70","75","455.8334655761719","undefined","75","434.2179870605469","undefined","75","379.30621337890625","undefined","75","455.65667724609375","undefined","75","429.6544189453125","undefined"
"75","80","445.541259765625","undefined","80","418.9764099121094","undefined","80","380.5517578125","undefined","80","401.6035461425781","undefined","80","446.00396728515625","undefined"
"80","85","380.4791259765625","undefined","85","399.0295104980469","undefined","85","338.16998291015625","undefined","85","398.7908935546875","undefined","85","415.7500915527344","undefined"
"85","90","344.8978576660156","undefined","90","367.54669189453125","undefined","90","357.49066162109375","undefined","90","404.4338073730469","undefined","90","404.4108581542969","undefined"
"90","95","337.7042236328125","undefined","95","363.0755920410156","undefined","95","336.0094299316406","undefined","95","411.6279602050781","undefined","95","400.68853759765625","undefined"
"95","100","307.2103271484375","undefined","100","341.18780517578125","undefined","100","330.00823974609375","undefined","100","398.7366638183594","undefined","100","365.5018310546875","undefined"
"100","105","313.0691833496094","undefined","105","354.7947998046875","undefined","105","299.5049133300781","undefined","105","377.81146240234375","undefined","105","377.2366638183594","undefined"
"105","110","295.0935974121094","undefined","110","347.03143310546875","undefined","110","336.5406799316406","undefined","110","356.18353271484375","undefined","110","350.092041015625","undefined"
"110","115","265.4517517089844","undefined","115","323.35943603515625","undefined","115","277.8548889160156","undefined","115","363.6251220703125","undefined","115","315.4413146972656","undefined"
