"global_step","loss-test_avg - _step","loss-test_avg - train_loss_total_norm_batch","loss-test_avg - val_loss_total_norm_batch","loss-test_avg_seq_mean - _step","loss-test_avg_seq_mean - train_loss_total_norm_batch","loss-test_avg_seq_mean - val_loss_total_norm_batch","loss-test_avg_seq_sum - _step","loss-test_avg_seq_sum - train_loss_total_norm_batch","loss-test_avg_seq_sum - val_loss_total_norm_batch","loss-test_total_norm_batch - _step","loss-test_total_norm_batch - train_loss_total_norm_batch","loss-test_total_norm_batch - val_loss_total_norm_batch","loss-test_total - _step","loss-test_total - train_loss_total_norm_batch","loss-test_total - val_loss_total_norm_batch"
"0","5","14.753469467163086","undefined","5","15.638105392456055","undefined","5","12.091628074645996","undefined","5","14.038772583007812","undefined","5","15.029582977294922","undefined"
"5","10","14.822585105895996","undefined","10","16.235332489013672","undefined","10","13.105981826782227","undefined","10","13.546930313110352","undefined","10","14.317134857177734","undefined"
"10","15","15.944022178649902","undefined","15","15.538281440734863","undefined","15","13.198052406311035","undefined","15","13.991144180297852","undefined","15","13.79574203491211","undefined"
"15","20","15.327492713928223","undefined","20","14.578300476074219","undefined","20","13.118986129760742","undefined","20","14.190064430236816","undefined","20","13.614356994628906","undefined"
"20","25","15.582815170288086","undefined","25","16.931896209716797","undefined","25","13.04449462890625","undefined","25","14.4795560836792","undefined","25","11.998252868652344","undefined"
"25","30","14.76845932006836","undefined","30","15.155111312866211","undefined","30","12.821935653686523","undefined","30","13.958272933959961","undefined","30","14.706534385681152","undefined"
"30","35","14.212827682495117","undefined","35","14.737958908081055","undefined","35","12.350725173950195","undefined","35","13.476259231567383","undefined","35","13.852959632873535","undefined"
"35","40","15.635782241821289","undefined","40","15.251689910888672","undefined","40","12.456405639648438","undefined","40","14.053438186645508","undefined","40","13.315987586975098","undefined"
"40","45","15.80007266998291","undefined","45","14.423142433166504","undefined","45","12.548266410827637","undefined","45","14.219708442687988","undefined","45","13.608293533325195","undefined"
"45","50","14.68130111694336","undefined","50","15.344575881958008","undefined","50","11.704999923706055","undefined","50","12.676836013793945","undefined","50","12.916399002075195","undefined"
"50","55","14.749404907226562","undefined","55","14.089941024780273","undefined","55","17.828224182128906","undefined","55","11.891242980957031","undefined","55","14.210768699645996","undefined"
"55","60","13.636709213256836","undefined","60","14.868854522705078","undefined","60","11.98451042175293","undefined","60","13.639558792114258","undefined","60","12.90294075012207","undefined"
"60","65","14.156829833984375","undefined","65","14.557469367980957","undefined","65","12.744693756103516","undefined","65","12.577862739562988","undefined","65","13.828603744506836","undefined"
"65","70","13.98779296875","undefined","70","13.613624572753906","undefined","70","11.588245391845703","undefined","70","13.189146041870117","undefined","70","12.54536247253418","undefined"
"70","75","14.244795799255371","undefined","75","13.56931209564209","undefined","75","11.85331916809082","undefined","75","14.23927116394043","undefined","75","13.426700592041016","undefined"
"75","80","13.923164367675781","undefined","80","13.093012809753418","undefined","80","11.892242431640625","undefined","80","12.550110816955566","undefined","80","13.937623977661133","undefined"
"80","85","11.889972686767578","undefined","85","12.469672203063965","undefined","85","10.567811965942383","undefined","85","12.462215423583984","undefined","85","12.99219036102295","undefined"
"85","90","10.778058052062988","undefined","90","11.485834121704102","undefined","90","11.17158317565918","undefined","90","12.638556480407715","undefined","90","12.637839317321777","undefined"
"90","95","10.55325698852539","undefined","95","11.346112251281738","undefined","95","10.50029468536377","undefined","95","12.863373756408691","undefined","95","12.521516799926758","undefined"
"95","100","9.600322723388672","undefined","100","10.662118911743164","undefined","100","10.31275749206543","undefined","100","12.46052074432373","undefined","100","11.421932220458984","undefined"
"100","105","9.783411979675293","undefined","105","11.087337493896484","undefined","105","9.359528541564941","undefined","105","11.806608200073242","undefined","105","11.78864574432373","undefined"
"105","110","9.221674919128418","undefined","110","10.844732284545898","undefined","110","10.51689624786377","undefined","110","11.130735397338867","undefined","110","10.940376281738281","undefined"
